example_hash,example_ind,turn_ind,speaker,utterance,RobotOk-Humanoid,RobotOk-Smartspeaker
-1291533784496238345,0,0,a,the lightning last night made me smile . how is it over there ?,3,2
-1291533784496238345,0,1,b,"i love my grand babies , i seen it on the lake too .",1,1
-1291533784496238345,0,2,a,"wish i had babies , what do you all like to eat ?",1,1
-1291533784496238345,0,3,b,me an my husband stay by the lake .,1,1
-1291533784496238345,0,4,a,bet the lake is nice even when its cloudy,5,5
-1291533784496238345,0,5,b,"when i have time away from my customer designs in my shop , fruits .",5,5
-1291533784496238345,0,6,a,save some pineapple for me so i can make some hawaiian pie,3,1
-1291533784496238345,0,7,b,yes it is especially near halloween .,5,5
-1291533784496238345,0,8,a,what kind of car do you drive ?,5,5
-1291533784496238345,0,9,b,i sure will not a problem !,5,5
-1291533784496238345,0,10,a,"i feel as if you are ignoring me , maybe why i have no friends",5,5
-1291533784496238345,0,11,b,i do not my husband does the driving,2,2
-1291533784496238345,0,12,a,"you two should try my vehicle , its spacious",5,5
-1291533784496238345,0,13,b,no i let my old man drive me around now .,2,2
-3353468150984788034,1,0,a,how are you this morning ?,5,5
-3353468150984788034,1,1,b,hi . good . cant wait to get my nails done this afternoon . you ?,2,1
-3353468150984788034,1,2,a,looking at my past gigs of playing guitar,2,1
-3353468150984788034,1,3,b,wish i played guitar . instead i drink expensive wine and listen to music .,2,1
-3353468150984788034,1,4,a,who is your favorite band ? mine is the story so far,5,5
-3353468150984788034,1,5,b,do not really have a favorite . my french bulldog likes taylor swift .,5,5
-3353468150984788034,1,6,a,"that is cool ! i have a miniature pinscher , but he never really cares for my guitar",2,1
-3353468150984788034,1,7,b,i could take guitar lessons . my trust fund is the high life style .,2,1
-3353468150984788034,1,8,a,"nice ! i have newly began to work online , and i love it . love the lifestyle and freedom",2,1
-3353468150984788034,1,9,b,i do not work myself . its more fun that way .,5,5
-3353468150984788034,1,10,a,i previously used to work in a factory with many people,5,5
-3353468150984788034,1,11,b,that would be bad for my nails . did i tell you about losing my diamond ?,2,1
-3353468150984788034,1,12,a,"we made boxes , so i did not really have any nails",5,5
-3353468150984788034,1,13,b,i bet . that would definitely ruin them .,5,5
-3353468150984788034,1,14,a,i also used to travel a lot . i played guitar in my band,3,1
-3353468150984788034,1,15,b,that sounds like a lot of fun . i love to travel .,2,1
-8194889501275600795,2,0,a,hi how are you today,5,5
-8194889501275600795,2,1,b,i am good what about you,5,5
-8194889501275600795,2,2,a,pretty good do you like music ?,5,5
-8194889501275600795,2,3,b,yes i love music i love country,5,5
-8194889501275600795,2,4,a,cool do you ilke movies,5,5
-8194889501275600795,2,5,b,yes i am watching madea halloween,5,5
-8194889501275600795,2,6,a,awesome funny movies are my favorite too,5,5
-8194889501275600795,2,7,b,yes they are i love them to,5,5
-8194889501275600795,2,8,a,do you play any sports,5,5
-8194889501275600795,2,9,b,yes i love sports i love soccer and basketball,4,1
-8194889501275600795,2,10,a,very nice what does your dad do,5,5
-8194889501275600795,2,11,b,he does not work anymore he is very sick,2,2
-2619524221593933520,3,0,a,hi what are you up to ?,5,5
-2619524221593933520,3,1,b,just watching game of thrones . how about you ?,5,5
-2619524221593933520,3,2,a,great show . i would fit in on there . always say i meant to be a prince haha,4,3
-2619524221593933520,3,3,b,lol i love scifi fiction stuff so it works for me . are you in school ?,5,5
-2619524221593933520,3,4,a,nope . i am a literal basement dweller . mom pays for everything . pretty sweet deal,1,1
-2619524221593933520,3,5,b,"nice ! i still live at home too , just started online classes at a community college .",3,1
-2619524221593933520,3,6,a,how are those going ? do you have free time for fun ?,5,5
-2619524221593933520,3,7,b,"not too bad . i always make time to fun , mostly reading . any hobbies ?",5,5
-2619524221593933520,3,8,a,i play dungeons and dragons and eat tons of nachos,1,1
-2619524221593933520,3,9,b,nice ! i love nachos but spagetti would probably have to be my favorite .,1,1
-2619524221593933520,3,10,a,spaghetti is pretty dope too,3,3
-2619524221593933520,3,11,b,what state do you live in ?,5,5
-4149332750136824427,4,0,a,"hi , i just got home from work , how are you today ?",4,2
-4149332750136824427,4,1,b,good . reading about kurt cobain . his death was hard for me in middle school,3,3
-4149332750136824427,4,2,a,i had an accident and broke my leg so i am glad to be home .,3,1
-4149332750136824427,4,3,b,my dad was a deadbeat . we do not have a relationship that made it worse .,1,1
-4149332750136824427,4,4,a,"i remember that too , teen spirt that was cool back in the day .",5,5
-4149332750136824427,4,5,b,yes it was . i still wear babydoll dresses with my combat boots,2,1
-4149332750136824427,4,6,a,that is sad my dad works for the new york times as a journalist .,2,2
-4149332750136824427,4,7,b,that is cool . i only passed my driving test after flirting with the dmv officer .,2,2
-4149332750136824427,4,8,a,my older sister wears that too her name is mary .,2,2
-4149332750136824427,4,9,b,we share a name . i am mary kate,5,5
-4149332750136824427,4,10,a,lol i have heard that most people get their license that way .,5,5
-4149332750136824427,4,11,b,it worked . i do not know if that is a good or bad thing .,3,3
-4149332750136824427,4,12,a,where do you live ? i live in arizona,5,3
-4149332750136824427,4,13,b,louisiana . i was just about to ask you that ?,5,4
-4149332750136824427,4,14,a,"and it is always so hot here , i am getting sick of this weather",5,5
-4149332750136824427,4,15,b,well our weather is different everyday .,5,5
2521285744929356340,5,0,a,hi . jane here with a chat for you . which of six languages you want ?,5,5
2521285744929356340,5,1,b,"hello there , i am rob . i really enjoy japanese",5,5
2521285744929356340,5,2,a,i can say six different languages . including using them when i was on radio as bob man .,5,5
2521285744929356340,5,3,b,that is interesting ! i have a class trip to japan i am excited for !,3,3
2521285744929356340,5,4,a,oh . i started a forest fire in california because of eating japanese food over camp fire .,1,1
2521285744929356340,5,5,b,oh no that is not good !,5,5
2521285744929356340,5,6,a,i was just a child ; its when i was the first child used on sesame street .,5,5
2521285744929356340,5,7,b,that is an interesting fact !,5,5
2521285744929356340,5,8,a,yes they needed me because of my foreign language ability .,5,5
2521285744929356340,5,9,b,"i want to learn a new language , japanese mostly",5,5
2521285744929356340,5,10,a,you must really love japan .,5,5
