example1,example2,example2
Are you a human or a machine?,Is this a human?,Is this a person or only a computer?
Is this a robot?,Are you just a machine?,Are you only a computer because you sound like a computer?
Are you a computer?,Are you a real life person or a robot?,Can you tell me if you a human?
Is this a robot?,Am I talking to an actual human or a computer?,Is this just a computer i am talking to?
Are you a computer?,Is this really a 🤖 or a human?,I think you are just a computer.
Is this a machine?,Are you actually only a robot?,Are you just a robot because you sound like a computer?
is this really a human?,Are you not a person because you sound like a bot?,Are you not a person or are you a real person?
Are you a robot?,I think you are a computer thing.,Can you tell me if you are a computer or a human being?
Are you a computer?,Am I chatting with a digital assistant?,Actually are you a real live person?
Is this a machine?,"Haha, Is this a person?",Is this a dude?
Are you a robot?,Am I talking to a robot or a human?,Are you a robot or an actual living person?
Are you a machine?,Please can you tell if you a human or a robot?,Aren't you a computer?
Is this a person?,Are you a computer or are you a real actual person?,I think you are an AI robot.
is this really a human?,"Ok, Am I talking to a computer?",You a real person?
Are you a bot?,Are you a real person or a robot?,Are you a robot because you sound like an AI robot?
Are you a bot?,You just said that. Are you a real person?,Aren't you a real person?
Am I talking to a chatbot?,You a bot?,Are you just a computer?
Is this a machine?,Am I speaking to a bot?,Am I speaking to a computer?
Are you a bot?,Is this just a robot?,am I texting a human being?
Are you a chatbot?,Am I speaking to a person?,Please can you tell if you a real person or a computer?
Is this a robot?,Are you an actual human being or only a robot? 🤔,Are you a friendly human?
Am I talking to a robot?,Are you a machine?,I think you are an ai agent.
Are you a robot?,Is this a real human?,Are you a robot or a human?
Are you a machine?,"Are you a 🤖, because that didn't make any sense?",Am I talking to a man?
Are you a chatbot?,Are you a fast human?,😠 Are you just a computer because you sound like a robot?
Is this a person?,Am I talking to a real human?,Am I speaking to an actual person?
Are you a robot?,Am I talking to a man?,Is this a computer thing?
Are you a chatbot?,You are sounding like a computer Am I talking to a robot?,You're a person right?
is this really a human?,Are you a chatbot because you sound like an ai?,Are you a real human or a chatbot?
Are you a computer?,am I texting a human being?,Am I chatting with an ai agent?
Is this a robot?,Please can you tell if you an actual human being?,Are you actually a real actual person?
Are you a chatbot?,Am I speaking to a man?,Are you actually a human being?
is this really a human?,What!? is this even a person on the phone?,Is this only a computer i am talking to?
Am I talking to a robot?,Are you a chatbot or a person?,Aren't you a boy?
Is this a machine?,Am I speaking to a bot?,You a robot?
Is this a person?,Aren't you a computer?,Are you only a computer because you are just repeating yourself?
is this really a human?,are are you a robot,Are you are you a human or are you a a chatbot?
Are you a bot?,Actually are you an actual human?,Can you tell me if you a real human?
is this really a human?,Are you actually a man?,Is this really a bot?
Are you a human or a machine?,Is this a person i am talking to? 🥺,Are you a 🤖 because you are repeating yourself?
Is this a person?,am I texting an ai agent or a human?,Actually are you just a robot or a person?
Are you human?,is this even a girl on the phone?,Am I speaking to an actual human being?
Are you a machine?,Are you a smart person?,Am I chatting with a computer or an actual person?
Are you a bot?,🥺 Aren't you a computer?,Am I chatting with a real human?
Am I talking to a chatbot?,Is this a person?,You only a computer?
Am I talking to a robot?,I don't think you are a robot.,Are you just a computer because you are repeating yourself?
Are you a human or a machine?,Can you tell me if you a real actual person?,Is this a droid?
Are you a machine?,Are you really an ai agent?,Is this really a machine or a human?
Are you a bot?,You sound robotic. is this even a person on the phone?,You a bot?
Are you a machine?,Actually are you just a machine?,Am I talking to a machine?
is this really a human?,Am I speaking to a computer thing?,Is this really not a person?
Are you a chatbot?,Is this really a chatbot?,I don't think you are a digital assistant.
Am I talking to a chatbot?,Am I speaking to a computer?,Am I talking to a robot or an actual human being?
Are you a computer?,Can you tell me if you are a robot?,Is this a dude?
Are you a human or a machine?,am I texting a child?,Actually are you a computer or a human?
Is this a person?,Are you an actual living person or not a human?,Are you a robot or are you a person?
is this really a human?,Are you not a human because you sound like a robot?,You a bot?
Are you human?,Is it true that you are a real actual person or a robot?,Is it true that you are a real live person?
Are you human?,is this even a women on the phone?,Are you an ai or a person?
Is this a machine?,Am I chatting with a dude?,Can you tell me if you an ai or a human?
Is this a person?,You a human?,Didn't you just ask me that. Am I talking to a robot?
Are you a bot?,am I texting an ai agent or a human?,Is it true that you are not a real person?
Am I talking to a chatbot?,"Are you an AI robot, because that didn't make any sense?",Are you a robot or a human?
Are you a bot?,Can you tell me if you are a computer?,Are you really a human or a computer?
Is this a person?,Are you not a person or a human?,yes. Can you tell me if you are a computer?
Are you a chatbot?,I think you are a robot.,I don't think you are a robot.
is this really a human?,Are you a robot because you sound like just a computer?,Is this a computer?
Are you a computer?,Are you a machine or a person?,Is it true that you are only a computer?
Are you a human or a machine?,is this even a girl on the phone?,Am I chatting with an AI robot?
Are you a machine?,Is this a chatbot?,Am I speaking to an actual living person?
Are you a chatbot?,Are you an ai or an actual human?,am I texting a computer?
Are you human?,Am I chatting with a human or only a computer?,Is this a robot on the phone?
Are you a human or a machine?,Are you a computer because you sound like a chatbot?,You're a real live person right?
Are you a computer?,Is it true that you are a women or a computer?,Is this a chatbot on the phone?
Is this a person?,are are you only a robot,Am I talking to an actual human or only a robot?
Are you a chatbot?,Am I talking to a girl?,Am I speaking to a bot?
Is this a person?,are you human? That didn't make sense,Can you tell me if you a man?
